,Baseline_N40,Baseline_N30,Baseline_N24,Baseline_N20,Baseline_N16,Baseline_N12,Baseline_N10,Baseline_N8,Baseline_N6,Baseline_N4,Residual_50_N40,Residual_50_N30,Residual_50_N24,Residual_50_N20,Residual_50_N16,Residual_50_N12,Residual_50_N10,Residual_50_N8,Residual_50_N6,Residual_50_N4,Residual_55_N40,Residual_55_N30,Residual_55_N24,Residual_55_N20,Residual_55_N16,Residual_55_N12,Residual_55_N10,Residual_55_N8,Residual_55_N6,Residual_55_N4,Residual_60_N40,Residual_60_N30,Residual_60_N24,Residual_60_N20,Residual_60_N16,Residual_60_N12,Residual_60_N10,Residual_60_N8,Residual_60_N6,Residual_60_N4,Residual_65_N40,Residual_65_N30,Residual_65_N24,Residual_65_N20,Residual_65_N16,Residual_65_N12,Residual_65_N10,Residual_65_N8,Residual_65_N6,Residual_65_N4,Residual_70_N40,Residual_70_N30,Residual_70_N24,Residual_70_N20,Residual_70_N16,Residual_70_N12,Residual_70_N10,Residual_70_N8,Residual_70_N6,Residual_70_N4,Residual_100_N40,Residual_100_N30,Residual_100_N24,Residual_100_N20,Residual_100_N16,Residual_100_N12,Residual_100_N10,Residual_100_N8,Residual_100_N6,Residual_100_N4
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0028888108983871064,-0.007516724070492864,-0.004239598090153174,-0.006657776644994784,-0.02207825228455229,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,-0.008607932981499755,-0.007516724070492864,-0.004239598090153174,-0.01911033478409596,-0.02207825228455229,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,-0.008607932981499755,-0.014103113172580395,-0.020460174123238306,-0.029558524268018194,-0.02207825228455229,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,-0.008607932981499755,-0.014103113172580395,-0.020460174123238306,-0.029558524268018194,-0.02207825228455229,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,-0.008607932981499755,-0.014103113172580395,-0.020460174123238306,-0.029558524268018194,-0.02207825228455229,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,-0.008607932981499755,-0.014103113172580395,-0.020460174123238306,-0.029558524268018194,-0.02207825228455229,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,0.0055222551805382825,-0.002496431862285098,-0.014103113172580395,-0.020460174123238306,-0.02814083390840938,-0.02207825228455229
2019-05-31,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.009176398676807418,0.017968811120055106,0.0032358369734701853,0.008370515739681617,-0.010338362169311166,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0178977412352872,0.017968811120055106,0.0032358369734701853,-0.005070106618507264,-0.010338362169311166,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0178977412352872,0.011188596533076245,-0.0023479132350013865,-0.0011144826601736657,-0.010338362169311166,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0178977412352872,0.011188596533076245,-0.0023479132350013865,-0.0011144826601736657,-0.010338362169311166,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0178977412352872,0.011188596533076245,-0.0023479132350013865,-0.0011144826601736657,-0.010338362169311166,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0178977412352872,0.011188596533076245,-0.0023479132350013865,-0.0011144826601736657,-0.010338362169311166,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0035930128480929913,0.0034887921117154885,0.011188596533076245,-0.0023479132350013865,0.0010031606529250503,-0.010338362169311166
2019-06-30,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.004510222861157209,0.007572703353714294,0.010827843906244361,0.0031966149219035955,0.020055656544741174,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.006016801982173026,0.007572703353714294,0.010827843906244361,0.010856506739543859,0.020055656544741174,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.006016801982173026,0.006998781343453331,0.015739081677131228,0.01817599689404581,0.020055656544741174,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.006016801982173026,0.006998781343453331,0.015739081677131228,0.01817599689404581,0.020055656544741174,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.006016801982173026,0.006998781343453331,0.015739081677131228,0.01817599689404581,0.020055656544741174,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.006016801982173026,0.006998781343453331,0.015739081677131228,0.01817599689404581,0.020055656544741174,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-8.493556580602135e-05,-0.005121056689815662,0.006998781343453331,0.015739081677131228,0.009581633726898353,0.020055656544741174
2019-07-31,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.01634233560694731,-0.019857487960695974,-0.025734181888749208,-0.021791733992644002,0.009038746524224983,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.01634233560694731,-0.01578937453477236,-0.014340216134460348,-0.00323071447624923,-0.017887026493390135,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.016848282132338133,-0.01578937453477236,-0.014340216134460348,-0.025752371744922398,-0.017887026493390135,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.016848282132338133,-0.01578937453477236,-0.014340216134460348,-0.02792038134970498,-0.017887026493390135,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.016848282132338133,-0.01578937453477236,-0.014340216134460348,-0.02792038134970498,-0.017887026493390135,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.016126339646603483,-0.021043652298963766,-0.019031885205652244,-0.02792038134970498,-0.017887026493390135,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.0133198631043987,-0.016126339646603483,-0.027025951616185817,-0.0330154225611452,-0.011454102613758788,-0.017887026493390135
2019-08-31,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,-0.003268931890715643,-0.0009590684415640149,-0.0058069506345350685,0.005502044579757337,0.0027380329614632437,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,-0.003268931890715643,-0.00043743763563530713,0.0016079390961891704,0.007882841013779673,0.01743757148499392,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.0043328289284756405,-0.00043743763563530713,0.0016079390961891704,0.001739817435521429,0.01743757148499392,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.0043328289284756405,-0.00043743763563530713,0.0016079390961891704,0.005860195822215752,0.01743757148499392,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.0043328289284756405,-0.00043743763563530713,0.0016079390961891704,0.005860195822215752,0.01743757148499392,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.012121057565509075,0.0014170612487418577,-0.0023767261409890494,0.005860195822215752,0.01743757148499392,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.015104579386236772,0.012121057565509075,0.00517065733662192,0.0045764410426014646,0.0067393479731694406,0.01743757148499392
2019-09-30,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.028616862431800172,0.025882295157811486,0.026331874281114276,0.015047453179831694,0.04665152700233244,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.028616862431800172,0.02920295579728549,0.032062905796406804,0.044778189727613826,0.057510379623673114,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.029913958668470686,0.02920295579728549,0.032062905796406804,0.035100665028690914,0.057510379623673114,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.029913958668470686,0.02920295579728549,0.032062905796406804,0.03611715110917468,0.057510379623673114,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.029913958668470686,0.02920295579728549,0.032062905796406804,0.03611715110917468,0.057510379623673114,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.02584228390361587,0.03104844403335938,0.03694275598462382,0.03611715110917468,0.057510379623673114,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.030567474880103918,0.02584228390361587,0.026668123161110557,0.03385143294706405,0.052598460914110134,0.057510379623673114
2019-10-31,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0008911587606882376,-0.009541182722540231,-0.005957093720622142,0.0020287748006226902,-0.03242810954222941,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.006303581311051687,-0.009541182722540231,-0.005957093720622142,-0.015567884751805039,-0.05782936777894876,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.006303581311051687,-0.009541182722540231,-0.01240094835433736,-0.015567884751805039,-0.05782936777894876,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.006303581311051687,-0.01038757680361646,-0.01240094835433736,-0.015567884751805039,-0.05782936777894876,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.006303581311051687,-0.01038757680361646,-0.01240094835433736,-0.015567884751805039,-0.05782936777894876,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.006303581311051687,-0.01038757680361646,-0.011394439347378937,-0.014315523835977229,-0.05782936777894876,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.0012688481075217029,-0.007789033248422728,-0.01038757680361646,-0.011394439347378937,-0.014315523835977229,-0.05782936777894876
2019-11-30,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04632591659381102,0.05137071985326713,0.05060272727014703,0.05056291069935526,0.05287186906997565,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04555476304589656,0.05137071985326713,0.05060272727014703,0.04012985531074453,0.037254050156101615,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04555476304589656,0.05137071985326713,0.04178572112012224,0.04012985531074453,0.037254050156101615,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04555476304589656,0.03938441451092678,0.04178572112012224,0.04012985531074453,0.037254050156101615,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04555476304589656,0.03938441451092678,0.04178572112012224,0.04012985531074453,0.037254050156101615,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04555476304589656,0.03938441451092678,0.0328393222306087,0.02815395071051241,0.037254050156101615,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.03447762619033634,0.04091524703204752,0.03938441451092678,0.0328393222306087,0.02815395071051241,0.037254050156101615
2019-12-31,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.03198734139795234,0.032010635808407795,0.040093119707334424,0.03735720771224815,0.03499714372011642,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.030215469307081966,0.032010635808407795,0.040093119707334424,0.02373682350741224,0.014632971838485886,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.030215469307081966,0.032010635808407795,0.03405865067254954,0.02373682350741224,0.014632971838485886,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.030215469307081966,0.03131710947934252,0.03405865067254954,0.02373682350741224,0.014632971838485886,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.030215469307081966,0.03131710947934252,0.03405865067254954,0.02373682350741224,0.014632971838485886,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.030215469307081966,0.03131710947934252,0.032822961750565094,0.022060273721495882,0.014632971838485886,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.015648304173802252,0.026439425835976138,0.03131710947934252,0.032822961750565094,0.022060273721495882,0.014632971838485886
