variant,total_holdings,cagr_delta_vs_baseline_n12,maxdd_abs_delta_vs_baseline_n12,calmar_delta_vs_baseline_n12,simultaneous_cagr_maxdd_calmar_improvement,zone,judgment
Baseline_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Baseline_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Baseline_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Baseline_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Baseline_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Baseline_N12,12,0.0,0.0,0.0,False,current,worse
Baseline_N10,10,0.007998733545838688,0.0008481423204567129,0.15613684029021746,False,concentration,clear improvement
Baseline_N8,8,0.020219453537991594,0.004985037530616632,0.1679157777317153,False,concentration,mixed
Baseline_N6,6,0.04446608460464607,0.0007037401428586776,1.165997991909686,False,concentration,clear improvement
Baseline_N4,4,-0.0004641242800773604,0.026155980817649693,-1.1394139060006934,False,concentration,worse
Residual_50_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_50_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_50_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_50_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_50_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_50_N12,12,-0.009413350630122164,0.00022040016970104048,-0.277640423764844,False,current,worse
Residual_50_N10,10,0.016840269702852684,0.0003888424963909287,0.43636851126375875,False,concentration,clear improvement
Residual_50_N8,8,0.022000669133128925,-0.00147418225635354,0.7558170468925467,True,concentration,clear improvement
Residual_50_N6,6,0.03632103432984901,0.002795576487020335,0.7465616945035904,False,concentration,mixed
Residual_50_N4,4,0.006627620732759798,0.03472668609787544,-1.2262782152892453,False,concentration,mixed
Residual_55_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_55_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_55_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_55_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_55_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_55_N12,12,-0.008133527759861758,0.004187186251066954,-0.484059827569014,False,current,worse
Residual_55_N10,10,0.005644902769115445,0.0024235558815490776,-0.022348523204464676,False,concentration,mixed
Residual_55_N8,8,0.022845977514104998,0.001954706719359267,0.46610565000893933,False,concentration,mixed
Residual_55_N6,6,0.012811077463740661,0.01338271021095605,-0.4691108626978546,False,concentration,mixed
Residual_55_N4,4,-0.025645752563817403,0.03472668609787544,-1.683796987806411,False,concentration,worse
Residual_60_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_60_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_60_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_60_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_60_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_60_N12,12,-0.008133527759861758,0.004187186251066954,-0.484059827569014,False,current,worse
Residual_60_N10,10,-0.0012308107541776359,0.0024235558815490776,-0.20216747602452667,False,concentration,worse
Residual_60_N8,8,0.022845977514104998,0.001954706719359267,0.46610565000893933,False,concentration,mixed
Residual_60_N6,6,0.014339397816567123,0.018509946031710856,-0.6498170518483954,False,concentration,mixed
Residual_60_N4,4,-0.025645752563817403,0.03472668609787544,-1.683796987806411,False,concentration,worse
Residual_65_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_65_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_65_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_65_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_65_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_65_N12,12,-0.008133527759861758,0.004187186251066954,-0.484059827569014,False,current,worse
Residual_65_N10,10,-0.0012308107541776359,0.0024235558815490776,-0.20216747602452667,False,concentration,worse
Residual_65_N8,8,0.022845977514104998,0.001954706719359267,0.46610565000893933,False,concentration,mixed
Residual_65_N6,6,-0.013637855376758656,0.018509946031710856,-1.1648313249129276,False,concentration,worse
Residual_65_N4,4,-0.025645752563817403,0.03472668609787544,-1.683796987806411,False,concentration,worse
Residual_70_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_70_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_70_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_70_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_70_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_70_N12,12,-0.005773403344529582,-0.002893671198298975,0.06035248576767138,False,current,mixed
Residual_70_N10,10,-0.005551023023039781,0.008420219320838918,-0.635992339270532,False,concentration,worse
Residual_70_N8,8,-0.010639783578148654,0.00305279811956638,-0.48439919078035887,False,concentration,worse
Residual_70_N6,6,-0.01985149346954085,0.018509946031710856,-1.2792139729637277,False,concentration,worse
Residual_70_N4,4,-0.03607923262695101,0.03472668609787544,-1.831705697184289,False,concentration,worse
Residual_100_N40,40,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_100_N30,30,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,high_diversification_reference,strong improvement
Residual_100_N24,24,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_100_N20,20,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_100_N16,16,0.006563232958632703,-0.01010802956691037,1.3098759193691278,True,diversification,strong improvement
Residual_100_N12,12,-0.026022939041802085,0.00041894576524581506,-0.7492345379397298,False,current,worse
Residual_100_N10,10,-0.006170771120712626,0.012146764092106133,-0.8078740974986032,False,concentration,worse
Residual_100_N8,8,-0.013755637717564273,0.015846954512930944,-1.0889154294628232,False,concentration,worse
Residual_100_N6,6,-0.004942865322751233,0.003697337758984509,-0.3760582710216789,False,concentration,worse
Residual_100_N4,4,-0.03607923262695101,0.03472668609787544,-1.831705697184289,False,concentration,worse
